0-Paranoid,0.047619047619047616,1,1,1,1,2,2,2,2,0
1-rv19514,0.047619047619047616,1,0,1,1,2,2,2,2,0
2-RandomBot,0.047619047619047616,0,0,1,1,2,2,2,2,0
3-RuleFollower,0.047619047619047616,0,0,1,0,2,2,2,2,0
4-Hippie,0.047619047619047616,0,0,1,1,2,2,2,2,0
0-Paranoid,0.0380952380952381,1,0,0,1,0,2,2,2,0
1-rv19514,0.047619047619047616,1,1,0,1,1,2,2,2,0
2-RandomBot,0.047619047619047616,0,0,0,1,0,2,2,2,0
3-RuleFollower,0.047619047619047616,0,0,0,0,1,2,2,2,0
4-Hippie,0.047619047619047616,1,0,0,1,1,2,2,2,0
0-Paranoid,0.08571428571428572,1,0,0,1,0,0,0,2,0
1-rv19514,0.047619047619047616,0,0,0,1,1,1,1,2,0
2-RandomBot,0.3333333333333333,0,0,0,1,0,0,1,2,0
3-RuleFollower,0.047619047619047616,1,1,0,0,1,0,1,2,0
4-Hippie,0.09523809523809523,0,0,0,1,1,1,1,2,0
0-Paranoid,0.13333333333333333,0,0,0,1,0,0,0,0,0
1-rv19514,0.047619047619047616,1,0,0,1,1,1,1,1,0
2-RandomBot,0.3333333333333333,0,0,0,1,0,0,1,0,0
3-RuleFollower,0.09523809523809523,1,0,0,0,1,0,1,1,0
4-Hippie,0.09523809523809523,1,1,0,1,1,1,1,1,0
0-Jammer,0.047619047619047616,1,1,0,1,2,2,2,2,0
1-Deceiver,0.047619047619047616,0,0,0,1,2,2,2,2,0
2-RuleFollower,0.047619047619047616,1,0,0,1,2,2,2,2,0
3-Neighbor,0.047619047619047616,0,0,0,0,2,2,2,2,0
4-rv19514,0.047619047619047616,0,0,0,1,2,2,2,2,0
0-Jammer,0.09523809523809523,0,0,1,1,1,2,2,2,0
1-Deceiver,0.047619047619047616,1,1,1,1,1,2,2,2,0
2-RuleFollower,0.09523809523809523,0,0,1,1,0,2,2,2,0
3-Neighbor,0.047619047619047616,1,0,1,0,0,2,2,2,0
4-rv19514,0.047619047619047616,1,0,1,1,1,2,2,2,0
0-Jammer,0.09523809523809523,0,0,0,1,1,1,2,2,0
1-Deceiver,0.09523809523809523,1,0,0,1,1,1,2,2,0
2-RuleFollower,0.09523809523809523,1,1,0,1,0,1,2,2,0
3-Neighbor,0.09523809523809523,0,0,0,0,0,0,2,2,0
4-rv19514,0.047619047619047616,0,0,0,1,1,1,2,2,0
0-Jammer,0.09523809523809523,1,0,0,1,1,1,1,2,0
1-Deceiver,0.14285714285714285,0,0,0,1,1,1,0,2,0
2-RuleFollower,0.14285714285714285,0,0,0,1,0,1,1,2,0
3-Neighbor,0.09523809523809523,1,1,0,0,0,0,1,2,0
4-rv19514,0.047619047619047616,1,0,0,1,1,1,1,2,0
0-Neighbor,0.047619047619047616,1,1,0,1,2,2,2,2,0
1-RandomBot,0.047619047619047616,1,0,0,0,2,2,2,2,1
2-RuleFollower,0.047619047619047616,0,0,0,1,2,2,2,2,0
3-rv19514,0.047619047619047616,0,0,0,1,2,2,2,2,1
4-Deceiver,0.047619047619047616,0,0,0,1,2,2,2,2,0
0-Neighbor,0.09523809523809523,0,0,1,1,0,0,2,2,0
1-RandomBot,0.09523809523809523,1,0,1,0,0,1,2,2,1
2-RuleFollower,0.047619047619047616,1,1,1,1,0,1,2,2,0
3-rv19514,0.047619047619047616,0,0,1,1,1,1,2,2,1
4-Deceiver,0.047619047619047616,1,0,1,1,0,1,2,2,0
0-Neighbor,0.09523809523809523,0,0,0,1,0,0,0,2,0
1-RandomBot,0.11428571428571428,1,0,0,0,0,1,0,2,1
2-RuleFollower,0.06666666666666667,1,0,0,1,0,1,1,2,0
3-rv19514,0.047619047619047616,0,1,0,1,1,1,1,2,1
4-Deceiver,0.06666666666666667,0,0,0,1,0,1,1,2,0
0-Neighbor,0.09523809523809523,1,0,1,1,0,0,0,0,0
1-RandomBot,0.1619047619047619,1,0,1,0,0,1,0,1,1
2-RuleFollower,0.11428571428571428,0,0,1,1,0,1,1,0,0
3-rv19514,0.047619047619047616,0,0,1,1,1,1,1,1,1
4-Deceiver,0.06666666666666667,1,1,1,1,0,1,1,1,0
0-Neighbor,0.11428571428571428,1,1,1,1,0,0,0,0,0
1-RandomBot,0.18095238095238095,1,0,1,0,0,1,0,1,1
2-RuleFollower,0.11428571428571428,1,0,1,1,0,1,1,0,0
3-rv19514,0.047619047619047616,0,0,1,1,1,1,1,1,1
4-Deceiver,0.08571428571428572,0,0,1,1,0,1,1,1,0
0-Deceiver,0.047619047619047616,1,1,1,1,2,2,2,2,0
1-rv19514,0.047619047619047616,0,0,1,1,2,2,2,2,0
2-Neighbor,0.047619047619047616,1,0,1,0,2,2,2,2,0
3-RandomBot,0.047619047619047616,0,0,1,1,2,2,2,2,0
4-Hippie,0.047619047619047616,0,0,1,1,2,2,2,2,0
0-Deceiver,0.0380952380952381,1,0,0,1,1,2,2,2,0
1-rv19514,0.047619047619047616,1,1,0,1,1,2,2,2,0
2-Neighbor,0.0380952380952381,1,0,0,0,0,2,2,2,0
3-RandomBot,0.047619047619047616,0,0,0,1,1,2,2,2,0
4-Hippie,0.047619047619047616,0,0,0,1,1,2,2,2,0
0-Deceiver,0.08571428571428572,0,0,1,1,1,0,2,2,0
1-rv19514,0.047619047619047616,0,0,1,1,1,1,2,2,0
2-Neighbor,0.08571428571428572,1,1,1,0,0,1,2,2,0
3-RandomBot,0.047619047619047616,1,0,1,1,1,1,2,2,0
